,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
130,Lexus,2007,Foreign Used,198969,2500,Petrol,Automatic,"4,992,000",
131,Toyota,2007,Foreign Used,149184,4000,Petrol,Automatic,"6,448,000",SUV
132,Lexus,2009,Foreign Used,173307,3500,Petrol,Automatic,"4,500,000",
133,Toyota,2009,Foreign Used,208827,2400,Petrol,Automatic,"3,952,000",
134,Lexus,2006,Foreign Used,376865,3500,Petrol,Automatic,"4,680,000",
135,Lexus,2014,Foreign Used,139592,4600,Petrol,Automatic,"23,920,000",SUV
136,Lexus,2008,Nigerian Used,97315,3200,Petrol,Automatic,"3,640,000",
137,Lexus,2010,Nigerian Used,140073,3500,Petrol,Automatic,"4,784,000",
138,Toyota,2015,Foreign Used,96531,3500,Petrol,Automatic,"10,290,000",
139,Acura,2011,Nigerian Used,78613,3700,Petrol,Automatic,"6,240,000",SUV
140,Lexus,2006,Foreign Used,100763,3000,Petrol,Automatic,"3,150,000",
141,Mercedes-Benz,2010,Foreign Used,,2500,Petrol,Automatic,"4,200,000",
142,Toyota,2007,Nigerian Used,104336,2400,Petrol,Automatic,"3,328,000",SUV
143,Lexus,2007,Foreign Used,65060,3500,Petrol,AMT,"3,885,000",
144,Mercedes-Benz,2007,Nigerian Used,1966,35,Petrol,Automatic,"5,720,000",SUV
145,Toyota,2017,Foreign Used,107748,2500,Petrol,Automatic,"12,600,000",SUV
146,Lexus,2011,Foreign Used,137902,3000,Petrol,Automatic,"4,992,000",
147,Mercedes-Benz,2009,Nigerian Used,121829,4600,Petrol,Automatic,"5,720,000",SUV
148,Mercedes-Benz,2010,Nigerian Used,96957,3500,Petrol,Automatic,"6,240,000",SUV
149,Mercedes-Benz,2013,Foreign Used,232813,4700,Petrol,Automatic,"14,560,000",
150,Lexus,2007,Foreign Used,124511,3500,Petrol,Automatic,"4,200,000",
151,Mercedes-Benz,2010,Foreign Used,,2500,Petrol,Automatic,"4,200,000",
152,Lexus,2015,Nigerian Used,24855,3500,Petrol,Automatic,"10,920,000",SUV
153,Land Rover,2006,Foreign Used,213515,4400,Petrol,Automatic,"3,150,000",SUV
154,Toyota,2011,Nigerian Used,114388,4000,Petrol,Automatic,"10,500,000",SUV
155,Mercedes-Benz,2008,Foreign Used,227689,3500,Petrol,Automatic,"3,885,000",
156,Toyota,2010,Foreign Used,236601,2500,Petrol,Automatic,"6,448,000",SUV
157,Land Rover,2016,Foreign Used,102429,35,Petrol,Automatic,"36,750,000",SUV
158,Toyota,2017,Foreign Used,107748,2500,Petrol,Automatic,"12,600,000",SUV
159,Lexus,2006,Foreign Used,100763,3000,Petrol,Automatic,"3,150,000",
160,Mercedes-Benz,2011,Nigerian Used,112122,4700,Petrol,Automatic,"6,760,000",SUV
161,Lexus,2007,Nigerian Used,170778,3300,Petrol,Automatic,"4,680,000",SUV
162,Lexus,2004,Nigerian Used,98430,4700,Petrol,Automatic,"4,680,000",SUV
163,Toyota,2008,Foreign Used,93474,3500,Petrol,Automatic,"6,300,000",SUV
164,Toyota,2011,Foreign Used,211357,2500,Petrol,Automatic,"4,515,000",
165,Mercedes-Benz,2015,Foreign Used,168946,3500,Petrol,Automatic,"17,680,000",SUV
166,Toyota,2015,Nigerian Used,67161,2500,Petrol,Automatic,"10,400,000",SUV
167,Lexus,2007,Foreign Used,104138,3500,Petrol,Automatic,"5,928,000",SUV
168,Toyota,2010,Foreign Used,158684,2500,Petrol,Automatic,"3,780,000",
169,Mercedes-Benz,2012,Foreign Used,165585,3500,Petrol,Automatic,"13,520,000",SUV
170,Toyota,2008,Nigerian Used,118743,3500,Petrol,Automatic,"4,784,000",SUV
171,Toyota,2010,Foreign Used,131164,2700,Petrol,Automatic,"6,090,000",SUV
172,Toyota,2009,Foreign Used,168603,2500,Petrol,Automatic,"4,620,000",SUV
173,Lexus,2009,Foreign Used,246462,3500,Petrol,Automatic,"5,200,000",
174,Mercedes-Benz,2006,Nigerian Used,231361,5000,Petrol,Automatic,"3,675,000",
175,Land Rover,2014,Nigerian Used,56908,5000,Petrol,Automatic,"26,000,000",SUV
176,Lexus,2008,Foreign Used,200262,35000,Petrol,Automatic,"4,680,000",
177,Toyota,2009,Nigerian Used,205371,3500,Petrol,Automatic,"7,072,000",SUV
178,Mercedes-Benz,2006,Nigerian Used,380097,5000,Petrol,Automatic,"5,200,000",SUV
179,Mercedes-Benz,2015,Foreign Used,39662,3500,Petrol,Automatic,"14,560,000",SUV
180,Lexus,2001,Foreign Used,199731,3000,Petrol,Automatic,"3,150,000",SUV
181,Lexus,2008,Foreign Used,85901,3500,Petrol,Automatic,"3,885,000",
182,Toyota,2005,Foreign Used,260730,4700,Petrol,Automatic,"4,992,000",SUV
183,Toyota,2007,Foreign Used,274477,2400,Petrol,Automatic,"3,640,000",
184,Toyota,2011,Nigerian Used,114388,4000,Petrol,Automatic,"10,500,000",SUV
185,Toyota,2011,Foreign Used,166839,2500,Petrol,Automatic,"4,160,000",
186,Mercedes-Benz,,,118616,,,Automatic,"11,210,000",
187,Toyota,2014,Foreign Used,70649,3500,Petrol,Automatic,"8,400,000",SUV
188,Mercedes-Benz,2008,Nigerian Used,215559,,Petrol,Automatic,"6,032,000",SUV
189,Mercedes-Benz,2008,Nigerian Used,650,4000,Petrol,Automatic,"6,760,000",SUV
190,Acura,2011,Nigerian Used,90726,3700,Petrol,Automatic,"4,200,000",SUV
191,Toyota,2013,Nigerian Used,79393,4700,Petrol,Automatic,"26,000,000",SUV
192,Lexus,2004,Nigerian Used,98430,4700,Petrol,Automatic,"4,680,000",SUV
193,Toyota,2010,Foreign Used,237886,2400,Petrol,Automatic,"3,675,000",
194,Lexus,2006,Nigerian Used,144513,3300,Petrol,Automatic,"3,744,000",SUV
195,Toyota,2015,Nigerian Used,67161,2500,Petrol,Automatic,"10,400,000",SUV
196,Mercedes-Benz,2016,Nigerian Used,62476,3500,Petrol,Automatic,"15,750,000",
197,Lexus,2008,Nigerian Used,224605,4600,Petrol,Automatic,"4,725,000",
198,Toyota,2016,Foreign Used,149753,2500,Hybrid,Automatic,"5,985,000",
199,Toyota,2013,Foreign Used,169183,2700,Petrol,Automatic,"8,610,000",
200,Mercedes-Benz,2013,Foreign Used,222344,3500,Petrol,Automatic,"8,925,000",SUV
201,Toyota,2011,Foreign Used,93785,3000,Petrol,Automatic,"8,528,000",SUV
202,Mercedes-Benz,2010,Nigerian Used,299309,4600,Petrol,Automatic,"5,775,000",SUV
203,Toyota,2009,Foreign Used,137397,2400,Petrol,Automatic,"3,952,000",
204,Acura,2011,Nigerian Used,178050,3700,Petrol,Automatic,"5,200,000",SUV
205,Toyota,2015,Foreign Used,218139,2700,Petrol,Automatic,"8,925,000",SUV
206,Mercedes-Benz,2008,Foreign Used,175183,3000,Petrol,Automatic,"4,680,000",
207,Toyota,2010,Foreign Used,158684,2500,Petrol,Automatic,"3,780,000",
208,Mercedes-Benz,2014,Foreign Used,83189,2000,Petrol,Automatic,"11,232,000",
209,Land Rover,2006,Nigerian Used,113872,4400,Petrol,Automatic,"3,120,000",
210,Mercedes-Benz,2007,Nigerian Used,110228,4500,Petrol,Automatic,"5,200,000",SUV
211,Toyota,2011,Foreign Used,257742,3500,Petrol,Automatic,"4,935,000",
212,Toyota,2014,Foreign Used,86077,3500,Petrol,Automatic,"14,700,000",SUV
213,Toyota,2012,Nigerian Used,76334,3500,Petrol,Automatic,"5,565,000",SUV
214,Lexus,2014,Foreign Used,139592,4600,Petrol,Automatic,"23,920,000",SUV
215,Mercedes-Benz,2011,Nigerian Used,193201,3500,Petrol,Automatic,"5,616,000",
216,Toyota,2007,Nigerian Used,104336,2400,Petrol,Automatic,"3,328,000",SUV
217,Mercedes-Benz,2006,Foreign Used,239529,5000,Petrol,Automatic,"4,515,000",SUV
218,Land Rover,2006,Foreign Used,118872,3500,Petrol,Automatic,"3,150,000",SUV
219,Toyota,2014,Foreign Used,89208,2500,Petrol,Automatic,"5,250,000",
220,Lexus,2008,Nigerian Used,186699,3500,Petrol,Automatic,"3,640,000",
221,Lexus,2007,Nigerian Used,156579,3500,Petrol,Automatic,"5,200,000",SUV
222,Lexus,2014,Nigerian Used,69129,4600,Petrol,Automatic,"18,375,000",SUV
223,Land Rover,2011,Nigerian Used,7842,4000,Petrol,Automatic,"6,825,000",SUV
224,Toyota,2010,Nigerian Used,106427,3500,Petrol,Automatic,"6,968,000",SUV
225,Toyota,2016,Foreign Used,55055,2500,Petrol,Automatic,"6,720,000",
226,Toyota,2007,Foreign Used,401813,2400,Petrol,Automatic,"3,885,000",
227,Lexus,2008,Foreign Used,323768,3500,Petrol,Automatic,"3,832,500",
228,Lincoln,2019,Nigerian Used,35976,2000,Petrol,Automatic,"17,850,000",SUV
229,Toyota,2017,Nigerian Used,101979,3500,Petrol,Automatic,"15,600,000",
230,Toyota,2015,Foreign Used,40962,2500,Petrol,Automatic,"10,400,000",
231,Toyota,2011,Foreign Used,142689,2400,Petrol,Automatic,"4,680,000",
232,Mercedes-Benz,2012,Nigerian Used,99661,3500,Petrol,Automatic,"7,280,000",
233,Land Rover,2011,Nigerian Used,7842,4000,Petrol,Automatic,"6,825,000",SUV
234,Mercedes-Benz,2010,Foreign Used,242841,3500,Petrol,Automatic,"6,615,000",SUV
235,Lexus,2012,Foreign Used,135295,3500,Petrol,Automatic,"7,072,000",
236,Mercedes-Benz,2013,Nigerian Used,90604,4700,Petrol,Automatic,"15,600,000",SUV
237,Land Rover,2006,Nigerian Used,137818,4000,Petrol,Automatic,"3,328,000",SUV
238,Lexus,2007,Nigerian Used,177336,3500,Petrol,Automatic,"3,650,000",SUV
239,Toyota,2010,Foreign Used,159981,3500,Petrol,Automatic,"7,560,000",SUV
240,Land Rover,2010,Nigerian Used,140366,50000,Petrol,Automatic,"4,200,000",SUV
241,Lexus,2012,Foreign Used,134949,3500,Petrol,Automatic,"10,192,000",SUV
242,Toyota,2008,Foreign Used,197403,3500,Petrol,Automatic,"4,200,000",
243,Lexus,2007,Foreign Used,258585,35000,Petrol,Automatic,"4,160,000",
244,Toyota,2005,Foreign Used,260730,4700,Petrol,Automatic,"4,992,000",SUV
245,Lexus,2009,Foreign Used,246462,3500,Petrol,Automatic,"5,200,000",
246,Mercedes-Benz,2014,Nigerian Used,51111,2000,Petrol,Automatic,"8,320,000",
247,Mercedes-Benz,2017,Nigerian Used,33853,3000,Petrol,Automatic,"33,280,000",SUV
248,Toyota,2015,Foreign Used,150157,2700,Petrol,Automatic,"10,400,000",SUV
249,Lexus,2007,Foreign Used,175836,3500,Petrol,Automatic,"4,680,000",
250,Toyota,2010,Foreign Used,214972,2500,Petrol,Automatic,"3,675,000",
251,Mercedes-Benz,2012,Foreign Used,165585,3500,Petrol,Automatic,"13,520,000",SUV
252,Land Rover,2006,Nigerian Used,137818,4000,Petrol,Automatic,"3,328,000",SUV
253,Toyota,2017,Nigerian Used,101979,3500,Petrol,Automatic,"15,600,000",
254,Lexus,2001,Foreign Used,199731,3000,Petrol,Automatic,"3,150,000",SUV
255,Lexus,2007,Foreign Used,110621,2500,Petrol,Automatic,"4,095,000",
256,GMC,2008,Nigerian Used,167643,3600,Petrol,Automatic,"3,360,000",SUV
257,Mercedes-Benz,2015,Foreign Used,111697,3200,Petrol,Automatic,"11,550,000",
258,Lexus,2005,Foreign Used,184460,3000,Petrol,Automatic,"3,675,000",
259,Lexus,2007,Nigerian Used,156579,3500,Petrol,Automatic,"5,200,000",SUV
260,Toyota,2009,Foreign Used,176951,2700,Petrol,Automatic,"6,300,000",SUV
261,Toyota,2011,Foreign Used,211357,2500,Petrol,Automatic,"4,515,000",
262,Acura,2010,Foreign Used,147282,3700,Petrol,Automatic,"9,360,000",SUV
263,Lexus,2010,Nigerian Used,203171,4600,Petrol,Automatic,"13,520,000",SUV
264,Mercedes-Benz,2014,Foreign Used,33820,3500,Petrol,Automatic,"11,440,000",
265,Lexus,2007,Foreign Used,158117,3500,Petrol,Automatic,"3,675,000",
266,Land Rover,2016,Foreign Used,102429,35,Petrol,Automatic,"36,750,000",SUV
267,Toyota,2009,Foreign Used,127674,2700,Petrol,Automatic,"7,140,000",
268,Mercedes-Benz,2009,Nigerian Used,100337,4600,Petrol,Automatic,"4,472,000",SUV
269,Toyota,2014,Foreign Used,40470,4000,Petrol,Automatic,"26,000,000",SUV
270,Toyota,2015,Nigerian Used,37591,3500,Petrol,Automatic,"12,480,000",SUV
271,Land Rover,2012,Nigerian Used,22281,4900,Petrol,Automatic,"8,320,000",SUV
272,Toyota,2011,Foreign Used,185047,2500,Petrol,Automatic,"4,200,000",
273,Toyota,2012,Foreign Used,170038,2400,Petrol,Automatic,"5,250,000",
274,Mercedes-Benz,2006,Foreign Used,239529,5000,Petrol,Automatic,"4,515,000",SUV
275,Lexus,2007,Foreign Used,258585,35000,Petrol,Automatic,"4,160,000",
276,Mercedes-Benz,2014,Foreign Used,83189,2000,Petrol,Automatic,"11,232,000",
277,Toyota,2018,Foreign Used,106543,2800,Petrol,Automatic,"13,520,000",
278,Toyota,2008,Foreign Used,86802,2400,Petrol,Automatic,"3,045,000",
279,Land Rover,2003,Foreign Used,,3500,Petrol,Automatic,"3,150,000",
280,Toyota,2013,Foreign Used,195785,3500,Petrol,Automatic,"10,400,000",SUV
281,Toyota,2008,Nigerian Used,155618,2400,Petrol,Automatic,"3,016,000",SUV
282,Mercedes-Benz,2016,Foreign Used,12053,35000,Petrol,Automatic,"13,520,000",
283,Lexus,2017,Foreign Used,26250,3500,Petrol,Automatic,"23,920,000",SUV
284,Lexus,2010,Foreign Used,193624,3500,Petrol,Automatic,"6,032,000",
285,Lexus,2005,Foreign Used,124007,3300,Petrol,Automatic,"3,150,000",
286,Toyota,2015,Foreign Used,261250,2500,Petrol,Automatic,"6,300,000",
287,Mercedes-Benz,2014,Nigerian Used,51111,2000,Petrol,Automatic,"8,320,000",
288,Mercedes-Benz,2018,Foreign Used,115896,3500,Petrol,Automatic,"24,150,000",SUV
289,Mercedes-Benz,2004,Foreign Used,204436,2600,Petrol,Automatic,"3,675,000",
290,Mercedes-Benz,2012,Foreign Used,280554,3500,Petrol,Automatic,"9,360,000",
291,Toyota,2012,Foreign Used,373365,2500,Petrol,Automatic,"4,725,000",
292,Mercedes-Benz,2018,Foreign Used,56263,3000,Petrol,Automatic,"52,000,000",SUV
293,Mercedes-Benz,2007,Nigerian Used,110228,4500,Petrol,Automatic,"5,200,000",SUV
294,Toyota,2009,Foreign Used,104917,2400,Petrol,Automatic,"3,465,000",
295,Mercedes-Benz,2013,Foreign Used,225174,3500,Petrol,Automatic,"13,520,000",SUV
296,Lexus,2007,Foreign Used,203757,3500,Petrol,Automatic,"4,576,000",
297,Lexus,2005,Foreign Used,123282,3000,Petrol,Automatic,"3,150,000",
298,Toyota,2012,Foreign Used,172079,2500,Petrol,Automatic,"5,250,000",
299,Toyota,2015,Nigerian Used,47602,3500,Petrol,Automatic,"9,660,000",SUV
300,Toyota,2017,Foreign Used,78320,2500,Petrol,Automatic,"7,035,000",
301,Toyota,2009,Foreign Used,104917,2400,Petrol,Automatic,"3,465,000",
302,Lexus,2007,Foreign Used,203757,3500,Petrol,Automatic,"4,576,000",
303,Toyota,2011,Foreign Used,211357,2500,Petrol,Automatic,"4,515,000",
304,Toyota,2014,Foreign Used,115296,3500,Petrol,Automatic,"15,600,000",SUV
305,Lexus,2008,Nigerian Used,142273,3500,Petrol,Automatic,"4,680,000",SUV
306,Land Rover,2018,Foreign Used,59656,3000,Diesel,Automatic,"42,000,000",SUV
307,Mercedes-Benz,2009,Nigerian Used,100337,4600,Petrol,Automatic,"4,472,000",SUV
308,Toyota,2011,Foreign Used,145489,2500,Petrol,Automatic,"3,885,000",
309,Toyota,2019,Foreign Used,63646,2500,Petrol,Automatic,"16,800,000",SUV
310,Mercedes-Benz,2004,Foreign Used,204436,2600,Petrol,Automatic,"3,675,000",
311,Land Rover,2006,Foreign Used,118872,3500,Petrol,Automatic,"3,150,000",SUV
312,Toyota,2015,Foreign Used,150157,2700,Petrol,Automatic,"10,400,000",SUV
313,Mercedes-Benz,2015,Nigerian Used,61515,3500,Petrol,Automatic,"14,560,000",SUV
314,Toyota,2012,Nigerian Used,47180,2700,Petrol,Automatic,"14,560,000",SUV
315,Toyota,2011,Foreign Used,185047,2500,Petrol,Automatic,"4,200,000",
316,Toyota,2009,Foreign Used,127674,2700,Petrol,Automatic,"7,140,000",
317,Lexus,2007,Foreign Used,110621,2500,Petrol,Automatic,"4,095,000",
318,Lexus,2008,Foreign Used,73213,2500,Petrol,Automatic,"3,360,000",
319,Lexus,2004,Foreign Used,272206,4700,Petrol,Automatic,"11,440,000",SUV
320,Lexus,2008,Foreign Used,227424,2500,Petrol,Automatic,"4,472,000",
321,Mercedes-Benz,,,226924,,,Automatic,"6,394,000",
322,Lexus,2006,Nigerian Used,160209,2500,Petrol,Automatic,"4,160,000",
323,Mercedes-Benz,2017,Foreign Used,62879,2000,Petrol,Automatic,"13,650,000",
324,Mercedes-Benz,2011,Nigerian Used,101316,3500,Petrol,Automatic,"5,720,000",
325,Lexus,2006,Nigerian Used,210014,4700,Petrol,Automatic,"4,160,000",SUV
326,Mercedes-Benz,2015,Nigerian Used,61515,3500,Petrol,Automatic,"14,560,000",SUV
327,Toyota,2015,Nigerian Used,37591,3500,Petrol,Automatic,"12,480,000",SUV
328,Mercedes-Benz,2009,Foreign Used,232438,3500,Petrol,Automatic,"6,300,000",SUV
329,Toyota,2011,Foreign Used,317231,2400,Petrol,Automatic,"4,472,000",
330,Toyota,2012,Foreign Used,325938,2500,Petrol,Automatic,"5,250,000",
331,Mercedes-Benz,2012,Foreign Used,148637,3500,Petrol,Automatic,"13,000,000",SUV
332,Toyota,2009,Nigerian Used,149599,3500,Petrol,Automatic,"5,200,000",SUV
333,Toyota,2015,Foreign Used,354563,2400,Petrol,Manual,"15,750,000",
334,Lexus,2007,Foreign Used,260907,3500,Petrol,Automatic,"3,885,000",
335,Toyota,2011,Foreign Used,89330,3500,Petrol,Automatic,"7,875,000",
336,Acura,2007,Foreign Used,196814,3700,Petrol,Automatic,"3,570,000",SUV
